restaurant_id,restaurant_name,cuisine,city,rating
REST0095,Cool Hub,Street Food,Kolkata,4.7
REST0096,Premium Kitchen,Desserts,Surat,4.0
REST0097,Grand Express,Biryani,Delhi,4.6
REST0098,Green Plaza,North Indian,Ahmedabad,4.2
REST0099,Urban Bistro,Desserts,Delhi,4.1
REST0100,Red Plaza,Burger,Delhi,4.0
REST0101,Blue House,Chinese,Ahmedabad,4.9
REST0102,Blue Lounge,South Indian,Mumbai,4.7
REST0103,Delhi Garden,North Indian,Pune,3.5
REST0104,Elite Kitchen,North Indian,Pune,4.9
REST0105,Taste Plaza,Biryani,Chennai,4.7
REST0106,Bombay Kitchen,South Indian,Delhi,3.7
REST0107,Golden Bistro,North Indian,Delhi,3.6
REST0108,Big Plaza,Italian,Surat,4.0
REST0109,Red Grill,Mexican,Delhi,4.4
REST0110,Spice Garden,North Indian,Pune,4.4
REST0111,Cool Kitchen,North Indian,Hyderabad,3.9
REST0112,Cafe Junction,South Indian,Ahmedabad,4.2
REST0113,Bombay Junction,Burger,Mumbai,3.8
REST0114,Royal Lounge,North Indian,Hyderabad,3.6
REST0115,Cafe Diner,Pizza,Mumbai,4.3
REST0116,Golden Corner,North Indian,Bangalore,4.0
REST0117,Grand Hub,South Indian,Pune,4.3
REST0118,Hungry Point,Italian,Pune,4.9
REST0119,Bombay Palace,North Indian,Delhi,3.7
REST0120,Little Corner,North Indian,Jaipur,3.5
REST0121,Food Station,Chinese,Chennai,3.6
REST0122,Kitchen Hub,Chinese,Jaipur,4.2
REST0123,Spice Stop,Biryani,Hyderabad,4.6
REST0124,Cafe Hub,North Indian,Mumbai,4.4
REST0125,Royal House,Cafe,Pune,4.2
REST0126,Hungry Diner,Cafe,Kolkata,4.0
REST0127,Golden Diner,Biryani,Hyderabad,4.0
REST0128,Hot Express,Chinese,Surat,4.1
REST0129,Spice Bistro,Cafe,Mumbai,4.4
REST0130,Fresh Stop,South Indian,Pune,3.8
REST0131,Blue Cafe,North Indian,Delhi,4.7
REST0132,The Lounge,North Indian,Delhi,4.4
REST0133,Little Lounge,Street Food,Pune,3.9
REST0134,Flavor Express,Chinese,Delhi,4.3
REST0135,Golden House,Desserts,Hyderabad,4.9
REST0136,Cafe Treat,South Indian,Pune,3.5
REST0137,Grand Junction,Desserts,Mumbai,3.8
REST0138,Urban Garden,Desserts,Hyderabad,4.2
REST0139,Royal Junction,Street Food,Delhi,4.5
REST0140,Green Cafe,Mexican,Bangalore,3.8
REST0141,Heritage Kitchen,Cafe,Delhi,4.9
REST0142,Golden Plaza,Street Food,Kolkata,4.5
REST0143,Blue Express,Chinese,Bangalore,4.8
REST0144,Fresh Plaza,Italian,Jaipur,4.0
REST0145,Green Point,Biryani,Bangalore,4.7
REST0146,Hungry Square,Chinese,Pune,4.1
REST0147,Kitchen Treat,Biryani,Delhi,3.9
REST0148,Delhi Point,North Indian,Bangalore,4.9
REST0149,Masala Plaza,Pizza,Bangalore,3.6
REST0150,Bombay Cafe,North Indian,Hyderabad,4.9
REST0151,Heritage Plaza,Chinese,Pune,4.2
REST0152,Express House,South Indian,Hyderabad,5.0
REST0153,Royal Treat,Cafe,Chennai,4.3
REST0154,Hot Stop,South Indian,Hyderabad,4.6
REST0155,Hungry Hub,Biryani,Bangalore,3.5
REST0156,Heritage Garden,Biryani,Surat,4.2
REST0157,Golden Stop,Mexican,Delhi,4.6
REST0158,Masala Bistro,South Indian,Mumbai,4.7
REST0159,Bombay Plaza,South Indian,Ahmedabad,3.7
REST0160,Blue Corner,Mexican,Pune,4.1
REST0161,Hungry Corner,North Indian,Chennai,4.1
REST0162,Hot Point,Pizza,Mumbai,3.7
REST0163,Classic Plaza,Street Food,Mumbai,4.2
REST0164,Golden Junction,North Indian,Mumbai,4.7
REST0165,Delhi Stop,Pizza,Delhi,4.0
REST0166,Green Palace,Street Food,Mumbai,4.1
REST0167,Golden Cafe,Cafe,Mumbai,4.9
REST0168,Happy Grill,Cafe,Chennai,3.5
REST0169,Cafe Bistro,Cafe,Chennai,4.4
REST0170,Express Stop,Chinese,Ahmedabad,4.6
REST0171,Cafe Kitchen,Desserts,Ahmedabad,4.6
REST0172,Heritage Point,Street Food,Delhi,4.6
REST0173,Green Kitchen,Mexican,Kolkata,4.6
REST0174,Red Garden,Chinese,Bangalore,3.6
REST0175,Happy Hub,Italian,Bangalore,4.3
REST0176,Kitchen Plaza,Chinese,Chennai,4.7
REST0177,Fusion Garden,South Indian,Pune,3.6
REST0178,Grand Corner,Burger,Chennai,3.5
REST0179,Big Corner,Pizza,Delhi,4.7
REST0180,Grand Kitchen,Mexican,Mumbai,4.6
REST0181,Fusion Treat,North Indian,Mumbai,4.1
REST0182,Happy Express,Biryani,Mumbai,4.9
REST0183,Masala Diner,North Indian,Kolkata,4.6
REST0184,Taste Treat,North Indian,Surat,5.0
REST0185,Express Kitchen,Burger,Delhi,4.9
REST0186,Fresh Kitchen,Italian,Pune,4.2
REST0187,Little Palace,North Indian,Pune,4.6
REST0188,Happy Restaurant,Chinese,Ahmedabad,4.5
REST0189,Delhi Corner,Biryani,Pune,4.7
REST0190,Green Station,Burger,Jaipur,4.7
REST0191,Big Cafe,Chinese,Hyderabad,3.7
REST0192,Fresh Garden,South Indian,Kolkata,3.9
REST0193,Masala House,Burger,Bangalore,3.9
REST0194,Golden Garden,Desserts,Hyderabad,4.7
REST0195,Fusion Stop,Burger,Hyderabad,4.7
REST0196,Delhi Kitchen,Cafe,Ahmedabad,4.2
REST0197,Delhi Diner,Pizza,Ahmedabad,4.4
REST0198,Taste Palace,Biryani,Bangalore,4.7
REST0199,The Hub,Desserts,Hyderabad,4.0
REST0200,Grand Bistro,Biryani,Jaipur,3.6
